1,-0.157,-1.178
1,0.452,-2.674
1,0.313,-2.728
1,-0.278,-1.780
1,0.523,-3.285
1,-2.155,-2.066
1,0.411,-2.955
1,-1.085,-3.507
1,0.701,-2.903
1,-0.698,-3.274
1,0.134,-3.266
1,2.154,-2.753
1,-0.608,-2.324
1,-1.856,-2.310
1,1.499,-4.285
1,-2.291,-2.993
1,-0.278,-3.030
1,1.510,-2.593
1,-0.682,-0.668
1,0.053,-3.627
1,-0.438,-3.865
1,-0.266,-3.744
1,0.325,-4.568
1,-0.061,-2.299
1,2.094,-2.813
1,-1.397,-2.992
1,1.777,-2.328
1,1.322,-2.982
1,2.547,-2.654
1,1.066,-3.033
1,-1.007,-3.354
1,0.581,-5.025
1,1.186,-2.848
1,0.979,-2.372
1,0.565,-3.294
1,-0.519,-3.442
1,1.689,-2.858
1,0.251,-2.052
1,0.538,-3.379
1,-1.451,-3.394
1,1.160,-3.879
1,-2.613,-4.030
1,-1.468,-1.427
1,-0.785,-3.668
1,-0.808,-2.247
1,0.642,-2.430
1,0.349,-3.753
1,1.210,-1.568
1,0.390,-3.470
1,-0.161,-1.755
1,-0.276,-3.753
1,0.373,-3.489
1,0.285,-4.036
1,1.636,-4.604
1,-1.620,-1.335
1,-0.351,-3.776
1,0.482,-2.158
1,-1.781,-4.357
1,0.547,-3.205
1,0.742,-2.319
1,-0.158,-2.084
1,-1.089,-1.377
1,-2.452,-2.865
1,1.059,-5.050
1,0.444,-3.965
1,0.052,-2.801
1,-1.878,-3.317
1,-2.795,-4.154
1,-0.306,-2.403
1,-1.231,-4.584
1,-1.461,-3.655
1,1.117,-3.603
1,0.721,-3.048
1,0.704,-4.707
1,0.482,-3.641
1,0.397,-1.982
1,-2.598,-1.132
1,1.829,-2.114
1,-0.073,-2.799
1,0.018,-3.519
1,0.415,-1.596
1,1.703,-3.557
1,0.888,-4.904
1,-1.234,-1.128
1,0.355,-2.273
1,1.453,-2.765
1,-0.457,-2.900
1,0.718,-1.243
1,-0.368,-2.746
1,0.260,-2.251
1,1.069,-2.887
1,0.730,-4.822
1,1.055,-2.955
1,-2.307,-2.522
1,-0.315,-2.230
1,1.318,-3.667
1,-0.392,-2.836
1,-0.310,-2.274
1,0.035,-3.524
1,0.669,-4.360
2,0.410,1.422
2,2.221,4.105
2,2.408,1.749
2,1.548,0.247
2,-0.336,1.244
2,2.752,-0.219
2,1.586,2.563
2,1.045,3.780
2,1.896,0.876
2,0.415,3.202
2,2.777,3.319
2,2.468,1.805
2,2.039,3.229
2,2.504,0.268
2,2.064,1.459
2,0.906,0.511
2,2.163,2.767
2,1.823,2.378
2,1.036,3.621
2,0.619,2.786
2,2.210,2.920
2,4.139,2.753
2,2.701,0.792
2,3.152,2.818
2,0.463,1.316
2,1.673,2.911
2,0.715,2.840
2,1.784,2.679
2,3.752,1.899
2,1.756,1.329
2,2.466,2.781
2,2.240,2.636
2,1.224,2.055
2,-0.386,0.773
2,1.660,1.175
2,2.109,2.014
2,2.277,1.228
2,0.779,2.569
2,1.507,2.142
2,0.594,1.405
2,3.917,2.158
2,2.685,1.770
2,1.093,3.053
2,1.868,2.506
2,3.127,2.605
2,1.534,0.891
2,3.040,2.834
2,4.049,0.369
2,0.009,2.811
2,1.248,0.775
2,2.083,3.261
2,2.181,2.163
2,3.298,2.705
2,2.960,2.026
2,0.985,1.320
2,1.428,3.075
2,0.501,2.468
2,2.928,3.550
2,2.104,2.878
2,0.451,1.073
2,2.713,2.207
2,2.763,2.183
2,1.676,1.314
2,3.194,1.103
2,1.267,2.592
2,2.374,2.146
2,1.099,0.915
2,0.561,1.647
2,0.736,1.470
2,2.029,4.418
2,1.365,1.928
2,1.958,2.222
2,1.765,3.405
2,1.967,2.441
2,1.811,2.031
2,1.805,1.827
2,2.827,0.446
2,1.941,1.655
2,3.491,1.080
2,1.229,2.441
2,0.826,1.226
